0	0.01229306768	0.7109777909
0.01	0.01230690729	0.7109939419
0.02	0.01228146444	0.7109954956
0.03	0.01230633182	0.7109911549
0.04	0.0123283166	0.7109997801
0.05	0.01247161183	0.7111151186
0.06	0.01238855376	0.7110898861
0.07	0.01256338583	0.7109646126
0.08	0.01323315133	0.7109974001
0.09	0.01398639819	0.7105195361
0.1	0.01457453349	0.7103969591
0.11	0.01694568311	0.7093987306
0.12	0.01837118786	0.7088252721
0.13	0.01980158371	0.7083756689
0.14	0.02280036149	0.7071140801
0.15	0.02435202472	0.7066292538
0.16	0.02599068055	0.7060561726
0.17	0.02894211511	0.7053240112
0.18	0.03092731072	0.7047227658
0.19	0.03341732607	0.7043455671
0.2	0.03703777542	0.7031746127
0.21	0.04014395443	0.7025535003
0.22	0.04365979728	0.7019788688
0.23	0.04815972961	0.7021739186
0.24	0.05201894122	0.7009888521
0.25	0.05606649423	0.6988156147
0.26	0.06206546054	0.6914395273
0.27	0.06559947109	0.6903273647
0.28	0.07049538684	0.6878656104
0.29	0.07602918285	0.6860413461
0.3	0.08032919152	0.6838089491
0.31	0.08532851533	0.6813596762
0.32	0.09157710856	0.6791142016
0.33	0.09813976776	0.6763596527
0.34	0.1048455437	0.6737868064
0.35	0.1110285345	0.6710799784
0.36	0.1174602246	0.6683676488
0.37	0.1248166301	0.664906066
0.38	0.1317990641	0.6623690091
0.39	0.1394292929	0.658691076
0.4	0.1466140061	0.6561229515
0.41	0.1547345927	0.6523313131
0.42	0.1618182761	0.6496103863
0.43	0.1700366969	0.6458863573
0.44	0.1785248759	0.6420141352
0.45	0.1866563633	0.6388104182
0.46	0.1953847346	0.6352736719
0.47	0.2043942523	0.6313335206
0.48	0.2137047493	0.6271142425
0.49	0.2228541476	0.6233297004
0.5	0.2325989728	0.6189013481
0.51	0.2425539	0.6147274608
0.52	0.252307112	0.6111493411
0.53	0.2620140775	0.6064548945
0.54	0.2723516377	0.6020282245
0.55	0.2830864526	0.5977682616
0.56	0.2936935851	0.5934520238
0.57	0.3043517476	0.5891477705
0.58	0.3153836829	0.5848974388
0.59	0.3265372307	0.580260096
0.6	0.3376899231	0.5760725713
0.61	0.3499018338	0.5708164917
0.62	0.3610858626	0.5661881309
0.63	0.3729795555	0.5615859699
0.64	0.3853747514	0.5560950556
0.65	0.3970005211	0.5513758488
0.66	0.409509499	0.5459567056
0.67	0.4218714974	0.5407276105
0.68	0.4349318535	0.5349518722
0.69	0.4477221147	0.5293069572
0.7	0.4613833281	0.5275858483
0.71	0.4744184939	0.5176228967
0.72	0.4868355036	0.5112515195
0.73	0.5002418471	0.5051399809
0.74	0.5139829835	0.4987232545
0.75	0.5279921146	0.4921169764
0.76	0.5419827075	0.4857885234
0.77	0.5566781018	0.4786174865
0.78	0.5709534709	0.4715254099
0.79	0.5855907981	0.4646970596
0.8	0.6006490859	0.4571091572
0.81	0.61526991	0.450366425
0.82	0.6311592268	0.4425216903
0.83	0.6466533612	0.4354511352
0.84	0.6626680198	0.4284386665
0.85	0.680307172	0.420849313
0.86	0.6950957866	0.4123876985
0.87	0.7117871644	0.404301889
0.88	0.7285341379	0.3961360187
0.89	0.7453543182	0.3881641583
0.9	0.762051433	0.3807138228
0.91	0.7792204796	0.3726768725
0.92	0.7971247947	0.3643667113
0.93	0.8146645026	0.3561939678
0.94	0.8327439721	0.3476840887
0.95	0.8505996146	0.3394317667
0.96	0.868212376	0.3313239697
0.97	0.8880810069	0.3237549914
0.98	0.9047381887	0.3141125568
0.99	0.9234329239	0.305431054
1	0.941998996	0.2964494725
1.01	0.9609810273	0.2873182687
1.02	0.9794819015	0.2782809278
1.03	0.9981619213	0.2696528021
1.04	1.017768287	0.2595364964
1.05	1.036589102	0.2500281279
1.06	1.056551729	0.2404556602
1.07	1.075819295	0.2309300269
1.08	1.096424703	0.2217750019
1.09	1.114189087	0.2107221474
1.1	1.134513138	0.2007474138
1.11	1.154734	0.1914514951
1.12	1.175602517	0.1817111777
1.13	1.196261366	0.171104319
1.14	1.217165755	0.1612666764
1.15	1.238245767	0.1514511676
1.16	1.259895068	0.1418108625
1.17	1.280007837	0.1330682726
1.18	1.303444317	0.1224539927
1.19	1.324139951	0.1122002673
1.2	1.345987131	0.1023099868
1.21	1.36720315	0.09312510311
1.22	1.389820608	0.08304853053
1.23	1.41248976	0.07282891358
1.24	1.434166703	0.06408640345
1.25	1.456754293	0.05508186968
1.26	1.478067768	0.04778223443
